ds,holiday,country,year
2039-11-01,Mindenszentek,HU,2039
2039-12-25,Karacsony,HU,2039
2039-12-26,Karacsony masnapja,HU,2039
2040-01-01,Ujev,HU,2040
2040-03-15,Nemzeti unnep,HU,2040
2040-03-16,Nemzeti unnep utani pihenonap,HU,2040
2040-03-30,Nagypentek,HU,2040
2040-04-01,Husvet,HU,2040
2040-04-02,Husvet Hetfo,HU,2040
2040-04-30,A Munka unnepe elotti pihenonap,HU,2040
2040-05-01,A Munka unnepe,HU,2040
2040-05-20,Punkosd,HU,2040
2040-05-21,Punkosdhetfo,HU,2040
2040-08-20,Az allamalapitas unnepe,HU,2040
2040-10-22,Nemzeti unnep elotti pihenonap,HU,2040
2040-10-23,Nemzeti unnep,HU,2040
2040-11-01,Mindenszentek,HU,2040
2040-11-02,Mindenszentek utani pihenonap,HU,2040
2040-12-24,Szenteste,HU,2040
2040-12-25,Karacsony,HU,2040
2040-12-26,Karacsony masnapja,HU,2040
2040-12-31,Szilveszter,HU,2040
2040-12-31,Ujev elotti pihenonap,HU,2040
2041-01-01,Ujev,HU,2041
2041-03-15,Nemzeti unnep,HU,2041
2041-04-19,Nagypentek,HU,2041
2041-04-21,Husvet,HU,2041
2041-04-22,Husvet Hetfo,HU,2041
2041-05-01,A Munka unnepe,HU,2041
2041-06-09,Punkosd,HU,2041
2041-06-10,Punkosdhetfo,HU,2041
2041-08-19,Az allamalapitas unnepe elotti pihenonap,HU,2041
2041-08-20,Az allamalapitas unnepe,HU,2041
2041-10-23,Nemzeti unnep,HU,2041
2041-11-01,Mindenszentek,HU,2041
2041-12-24,Szenteste,HU,2041
2041-12-25,Karacsony,HU,2041
2041-12-26,Karacsony masnapja,HU,2041
2041-12-27,Karacsony masnapja utani pihenonap,HU,2041
2042-01-01,Ujev,HU,2042
2042-03-15,Nemzeti unnep,HU,2042
2042-04-04,Nagypentek,HU,2042
2042-04-06,Husvet,HU,2042
2042-04-07,Husvet Hetfo,HU,2042
2042-05-01,A Munka unnepe,HU,2042
2042-05-02,A Munka unnepe utani pihenonap,HU,2042
2042-05-25,Punkosd,HU,2042
2042-05-26,Punkosdhetfo,HU,2042
2042-08-20,Az allamalapitas unnepe,HU,2042
2042-10-23,Nemzeti unnep,HU,2042
2042-10-24,Nemzeti unnep utani pihenonap,HU,2042
2042-11-01,Mindenszentek,HU,2042
2042-12-24,Szenteste,HU,2042
2042-12-25,Karacsony,HU,2042
2042-12-26,Karacsony masnapja,HU,2042
2043-01-01,Ujev,HU,2043
2043-01-02,Ujev utani pihenonap,HU,2043
2043-03-15,Nemzeti unnep,HU,2043
2043-03-27,Nagypentek,HU,2043
2043-03-29,Husvet,HU,2043
2043-03-30,Husvet Hetfo,HU,2043
2043-05-01,A Munka unnepe,HU,2043
2043-05-17,Punkosd,HU,2043
2043-05-18,Punkosdhetfo,HU,2043
2043-08-20,Az allamalapitas unnepe,HU,2043
2043-08-21,Az allamalapitas unnepe utani pihenonap,HU,2043
2043-10-23,Nemzeti unnep,HU,2043
2043-11-01,Mindenszentek,HU,2043
2043-12-24,Szenteste,HU,2043
2043-12-25,Karacsony,HU,2043
2043-12-26,Karacsony masnapja,HU,2043
2044-01-01,Ujev,HU,2044
2044-03-14,Nemzeti unnep elotti pihenonap,HU,2044
2044-03-15,Nemzeti unnep,HU,2044
2044-04-15,Nagypentek,HU,2044
2044-04-17,Husvet,HU,2044
2044-04-18,Husvet Hetfo,HU,2044
2044-05-01,A Munka unnepe,HU,2044
2044-06-05,Punkosd,HU,2044
2044-06-06,Punkosdhetfo,HU,2044
2044-08-20,Az allamalapitas unnepe,HU,2044
2044-10-23,Nemzeti unnep,HU,2044
2044-10-31,Mindenszentek elotti pihenonap,HU,2044
2044-11-01,Mindenszentek,HU,2044
2044-12-25,Karacsony,HU,2044
2044-12-26,Karacsony masnapja,HU,2044
